room_title,woe_room_url,tag_id,tag
"Escape room ""The Strange Room"" by Kuma Escape in San Jose",https://worldofescapes.com/san-jose/quests/kuma-escape-the-strange-room,2,Up to eleven players
"Escape room ""Escape Papa's Study"" by Key West Room Escape in Key West",https://worldofescapes.com/key-west/quests/key-west-room-escape-escape-the-study,0,Public Ticketing
"Escape room ""Escape Papa's Study"" by Key West Room Escape in Key West",https://worldofescapes.com/key-west/quests/key-west-room-escape-escape-the-study,1,Up to eight players
"Escape room ""The Egyptian Chamber"" by Escape in 60 in Charleston",https://worldofescapes.com/charleston/quests/escape-in-60-the-egyptian-chamber,0,Ancient worlds
"Escape room ""The Egyptian Chamber"" by Escape in 60 in Charleston",https://worldofescapes.com/charleston/quests/escape-in-60-the-egyptian-chamber,1,Public Ticketing
"Escape room ""The Egyptian Chamber"" by Escape in 60 in Charleston",https://worldofescapes.com/charleston/quests/escape-in-60-the-egyptian-chamber,2,Up to eight players
"Escape room ""Locked Out!"" by Unity Escape Rooms in Pomona",https://worldofescapes.com/pomona/quests/unity-escape-rooms-locked-out,0,Scary
"Escape room ""Locked Out!"" by Unity Escape Rooms in Pomona",https://worldofescapes.com/pomona/quests/unity-escape-rooms-locked-out,1,Apocalypse
"Escape room ""Locked Out!"" by Unity Escape Rooms in Pomona",https://worldofescapes.com/pomona/quests/unity-escape-rooms-locked-out,2,Public Ticketing
"Escape room ""Locked Out!"" by Unity Escape Rooms in Pomona",https://worldofescapes.com/pomona/quests/unity-escape-rooms-locked-out,3,Halloween
"Escape room ""Locked Out!"" by Unity Escape Rooms in Pomona",https://worldofescapes.com/pomona/quests/unity-escape-rooms-locked-out,4,ADA compliant
"Escape room ""Locked Out!"" by Unity Escape Rooms in Pomona",https://worldofescapes.com/pomona/quests/unity-escape-rooms-locked-out,5,Up to four players
"Escape room ""The Artist"" by Escape Point in Minot",https://worldofescapes.com/minot/quests/escape-point-the-artist,0,Private Ticketing
"Escape room ""The Artist"" by Escape Point in Minot",https://worldofescapes.com/minot/quests/escape-point-the-artist,1,Up to six players
"Escape room ""The Vault Part 2"" by Puzzles in Minneapolis - St. Paul",https://worldofescapes.com/minneapolis/quests/puzzles-the-vault,0,Public Ticketing
"Escape room ""The Vault Part 2"" by Puzzles in Minneapolis - St. Paul",https://worldofescapes.com/minneapolis/quests/puzzles-the-vault,1,Up to ten players
"Escape room ""Inventor's Work Shop"" by Ten Pin Eatery in Mashpee",https://worldofescapes.com/mashpee/quests/ten-pin-eatery-inventors-work-shop,0,Up to eight players
"Escape room ""The Brewery Escape"" by Cipher Escape in Morrisville",https://worldofescapes.com/morrisville/quests/Cipher-Escape-Brewery-Escape-Room,0,Public Ticketing
"Escape room ""The Brewery Escape"" by Cipher Escape in Morrisville",https://worldofescapes.com/morrisville/quests/Cipher-Escape-Brewery-Escape-Room,1,Up to six players
"Escape room ""School Of Magic"" by West Palm Beach Escape Rooms in West Palm Beach",https://worldofescapes.com/west-palm-beach/quests/west-palm-beach-escape-rooms-school-of-magic,0,Adventure
"Escape room ""School Of Magic"" by West Palm Beach Escape Rooms in West Palm Beach",https://worldofescapes.com/west-palm-beach/quests/west-palm-beach-escape-rooms-school-of-magic,1,Public Ticketing
"Escape room ""School Of Magic"" by West Palm Beach Escape Rooms in West Palm Beach",https://worldofescapes.com/west-palm-beach/quests/west-palm-beach-escape-rooms-school-of-magic,2,Up to eight players
"Escape room ""Ultimate Heist"" by Gotham Escape Room in Philadelphia",https://worldofescapes.com/philly/quests/gotham-escape-room-ultimate-heist,0,Heist
"Escape room ""Ultimate Heist"" by Gotham Escape Room in Philadelphia",https://worldofescapes.com/philly/quests/gotham-escape-room-ultimate-heist,1,Public Ticketing
"Escape room ""Ultimate Heist"" by Gotham Escape Room in Philadelphia",https://worldofescapes.com/philly/quests/gotham-escape-room-ultimate-heist,2,Up to ten players
"Escape room ""The Inheritance"" by Escape Zone in Phoenix",https://worldofescapes.com/phoenix/quests/escape-zone-the-inheritance,0,Public Ticketing
"Escape room ""The Inheritance"" by Escape Zone in Phoenix",https://worldofescapes.com/phoenix/quests/escape-zone-the-inheritance,1,Up to eight players
"Escape room ""Get back on Santa's Good List"" by Code To Escape in Daytona Beach",https://worldofescapes.com/daytona-beach/quests/code-to-escape-db-get-back-on-santas-good-list,0,Private Ticketing
"Escape room ""Get back on Santa's Good List"" by Code To Escape in Daytona Beach",https://worldofescapes.com/daytona-beach/quests/code-to-escape-db-get-back-on-santas-good-list,1,Christmas
"Escape room ""Get back on Santa's Good List"" by Code To Escape in Daytona Beach",https://worldofescapes.com/daytona-beach/quests/code-to-escape-db-get-back-on-santas-good-list,2,ADA compliant
"Escape room ""Get back on Santa's Good List"" by Code To Escape in Daytona Beach",https://worldofescapes.com/daytona-beach/quests/code-to-escape-db-get-back-on-santas-good-list,3,Up to five players
"Escape room ""OPERATION: X-13"" by Trapped! Escape Room in Las Vegas",https://worldofescapes.com/las-vegas/quests/trapped-escape-room-operation-x-13,0,Futuristic
"Escape room ""OPERATION: X-13"" by Trapped! Escape Room in Las Vegas",https://worldofescapes.com/las-vegas/quests/trapped-escape-room-operation-x-13,1,Private Ticketing
"Escape room ""OPERATION: X-13"" by Trapped! Escape Room in Las Vegas",https://worldofescapes.com/las-vegas/quests/trapped-escape-room-operation-x-13,2,Up to eight players
"Escape room ""The Cleaners"" by Enter Locked Escape Rooms in Jackson (MS)",https://worldofescapes.com/jackson-ms/quests/enter-locked-escape-rooms-the-cleaners,0,Private Ticketing
"Escape room ""The Cleaners"" by Enter Locked Escape Rooms in Jackson (MS)",https://worldofescapes.com/jackson-ms/quests/enter-locked-escape-rooms-the-cleaners,1,Up to eight players
"Escape room ""Escape the Legend of Luna Park"" by Electric City Escape in Scranton",https://worldofescapes.com/scranton/quests/electric-city-escape-escape-the-legend-of-luna-park,0,Adventure
"Escape room ""Escape the Legend of Luna Park"" by Electric City Escape in Scranton",https://worldofescapes.com/scranton/quests/electric-city-escape-escape-the-legend-of-luna-park,1,Public Ticketing
"Escape room ""Escape the Legend of Luna Park"" by Electric City Escape in Scranton",https://worldofescapes.com/scranton/quests/electric-city-escape-escape-the-legend-of-luna-park,2,Up to eight players
"Escape room ""Poindexter"" by Suite Escape in Amarillo",https://worldofescapes.com/amarillo/quests/suite-escape-poindexter,0,Public Ticketing
"Escape room ""Poindexter"" by Suite Escape in Amarillo",https://worldofescapes.com/amarillo/quests/suite-escape-poindexter,1,Up to six players
"Escape room ""The Games Room"" by Code Stat Escape Rooms in Ventura",https://worldofescapes.com/ventura/quests/code-stat-escape-rooms-the-games-room,0,Scary
"Escape room ""The Games Room"" by Code Stat Escape Rooms in Ventura",https://worldofescapes.com/ventura/quests/code-stat-escape-rooms-the-games-room,1,Detective
"Escape room ""The Games Room"" by Code Stat Escape Rooms in Ventura",https://worldofescapes.com/ventura/quests/code-stat-escape-rooms-the-games-room,2,Private Ticketing
"Escape room ""The Games Room"" by Code Stat Escape Rooms in Ventura",https://worldofescapes.com/ventura/quests/code-stat-escape-rooms-the-games-room,3,Up to ten players
"Escape room ""Pharaoh's Quest"" by Rockville Escape Rooms in Rockville",https://worldofescapes.com/rockville/quests/rockville-escape-rooms-pharaohs-quest,0,Public Ticketing
