room_title,woe_room_url,tag_id,tag
"Escape room ""Hostage"" by Breakout Games - Mobile in Mobile",https://worldofescapes.com/mobile/quests/breakout-mobile-hostage,0,Detective
"Escape room ""Hostage"" by Breakout Games - Mobile in Mobile",https://worldofescapes.com/mobile/quests/breakout-mobile-hostage,1,Immersive
"Escape room ""Hostage"" by Breakout Games - Mobile in Mobile",https://worldofescapes.com/mobile/quests/breakout-mobile-hostage,2,Private Ticketing
"Escape room ""Hostage"" by Breakout Games - Mobile in Mobile",https://worldofescapes.com/mobile/quests/breakout-mobile-hostage,3,Up to eight players
"Escape room ""The Room of the Great Mysto"" by Escape House Waterville in Orange Beach",https://worldofescapes.com/gulf-shores/quests/escape-house-waterville-the-room-of-the-great-mysto,0,Public Ticketing
"Escape room ""The Room of the Great Mysto"" by Escape House Waterville in Orange Beach",https://worldofescapes.com/gulf-shores/quests/escape-house-waterville-the-room-of-the-great-mysto,1,Up to seven players
"Escape room ""The Haunting"" by Escape Tuscaloosa in Tuscaloosa",https://worldofescapes.com/tuscaloosa/quests/escape-tuscaloosa-the-haunted,0,Scary
"Escape room ""The Haunting"" by Escape Tuscaloosa in Tuscaloosa",https://worldofescapes.com/tuscaloosa/quests/escape-tuscaloosa-the-haunted,1,Mystical
"Escape room ""The Haunting"" by Escape Tuscaloosa in Tuscaloosa",https://worldofescapes.com/tuscaloosa/quests/escape-tuscaloosa-the-haunted,2,Private Ticketing
"Escape room ""The Haunting"" by Escape Tuscaloosa in Tuscaloosa",https://worldofescapes.com/tuscaloosa/quests/escape-tuscaloosa-the-haunted,3,Halloween
"Escape room ""The Haunting"" by Escape Tuscaloosa in Tuscaloosa",https://worldofescapes.com/tuscaloosa/quests/escape-tuscaloosa-the-haunted,4,Up to eight players
"Escape room ""The Puzzler vs Superheroes"" by Auburn Escape Zones in Auburn",https://worldofescapes.com/auburn/quests/auburn-escape-zones-the-puzzler-vs-superheroes,0,Public Ticketing
"Escape room ""The Puzzler vs Superheroes"" by Auburn Escape Zones in Auburn",https://worldofescapes.com/auburn/quests/auburn-escape-zones-the-puzzler-vs-superheroes,1,Head-to-head
"Escape room ""The Puzzler vs Superheroes"" by Auburn Escape Zones in Auburn",https://worldofescapes.com/auburn/quests/auburn-escape-zones-the-puzzler-vs-superheroes,2,Up to ten players
"Escape room ""The Museum"" by Locked In in Birmingham",https://worldofescapes.com/birm/quests/Locked-In-THE-MUSEUM,0,None
"Escape room ""The Initiation"" by Gray Matter Escape in Lake Havasu City",https://worldofescapes.com/lake-havasu-city/quests/gray-matter-escape-the-initiation,0,Heist
"Escape room ""The Initiation"" by Gray Matter Escape in Lake Havasu City",https://worldofescapes.com/lake-havasu-city/quests/gray-matter-escape-the-initiation,1,Private Ticketing
"Escape room ""The Initiation"" by Gray Matter Escape in Lake Havasu City",https://worldofescapes.com/lake-havasu-city/quests/gray-matter-escape-the-initiation,2,Up to six players
"Escape room ""Runaway Train"" by Breakout Orange - Beach in Orange Beach",https://worldofescapes.com/gulf-shores/quests/breakout-orange-beach-runaway-train,0,Adventure
"Escape room ""Runaway Train"" by Breakout Orange - Beach in Orange Beach",https://worldofescapes.com/gulf-shores/quests/breakout-orange-beach-runaway-train,1,Private Ticketing
"Escape room ""Runaway Train"" by Breakout Orange - Beach in Orange Beach",https://worldofescapes.com/gulf-shores/quests/breakout-orange-beach-runaway-train,2,Immersive
"Escape room ""Runaway Train"" by Breakout Orange - Beach in Orange Beach",https://worldofescapes.com/gulf-shores/quests/breakout-orange-beach-runaway-train,3,Up to eight players
