room_title,woe_room_url,room_address,room_description,player_range,time_limit,difficulty_level,fear_level,age_requirement,success_rate,min_players,max_players,time_limit_str,minimum_age,difficulty_int,fear_int,query_address,room_latitude,room_longitude
"Escape room ""Escape the Maniac"" by Cryptic Rooms in Pensacola",https://worldofescapes.com/pensacola/quests/cryptic-rooms-escape-the-maniac,"528 W Garden St #4 Pensacola, FL 32502","Enter the maniac's lair and face your fears in this chamber of horror! Untangle the web of his nightmarish puzzles and clues, and you may be able to escape before he returns and adds you to the list of victims.",2-8,60,Average,A little scary,,None,2,8,60 minutes,nan,1,1,"528 W Garden St #4, Pensacola, FL 32502, USA",30.4119894,-87.2229911
"Escape room ""Quest for the Throne"" by The Ultimate Escape in Norwich",https://worldofescapes.com/norwich/quests/the-ultimate-escape-quest-for-the-throne,113 Salem Tpke Ste 8 Norwich CT 06360,"You are the elder sibling born into a Royal family. It was your birthright to inherit the throne upon the King’s death, but an evil secret plan executed by your younger brother and some corrupt castle guards has left you exiled from the kingdom. The corrupt guards were given strict orders to kill you if you ever returned to the castle.
When the King and Queen died, your tyrannical brother ran the kingdom into despair. Disgusted by the decline of a once-prosperous and peaceful land, you decide to risk your life to set things right. Disguised as a pauper, you’ve managed to make it back to the castle undetected, and with your knowledge of the secret passages in the castle, you’ve made it into the King’s Study.
In the next sixty minutes, you need to find proof of your birthright and escape undetected before the castle guards return.",5-8,60,Average,Not scary,,None,5,8,60 minutes,nan,1,0,"113 Salem Turnpike #8, Norwich, CT 06360, USA",41.5132516,-72.1171719
"Escape room ""Forbidden Temple"" by Clever Fox in Temecula",https://worldofescapes.com/temecula/quests/clever-fox-forbidden-temple,"29800 Bradley Rd #110 Menifee, CA 92586","With the discovery of the final resting place for the Ark of the Covenant, can you and your team of fellow student explorers find your professors base camp, gain access into the Forbidden Temple, navigate the traps left behind and reach the Ark? Or will you fall victim to the Temple like those before you?",1-7,60,Average,Not scary,13+,None,1,7,60 minutes,13,1,0,"29800 Bradley Rd #110, Menifee, CA 92586, USA",33.6883248,-117.1875453
"Escape room ""Tiki Island"" by Escape The Netherworld in Atlanta",https://worldofescapes.com/atlanta/quests/escape-the-netherworld-tiki-island,"2076 West Park Place Blvd Stone Mountain, GA 30087","Your former archeology professor Dr. Jake Graffenburg has invited you to a crazy weekend at his beach house in Maui to celebrate the discovery of ancient artifacts sacred to the god of peace, Lono. When you get to his place just before dawn you are unexpectedly drawn into a struggle between powerful Hawaiian gods battling for dominance! Graffenburg has carefully protected the beach house from both supernatural and human threats with assorted challenges designed to thwart those of evil intent, but they must be solved quickly before a storm summoned by the foul shark god of Molokai washes away the house and everyone in it into a bay filled with ravenous sharks!",2-8,60,Very difficult,Not scary,16+,None,2,8,60 minutes,16,3,0,"2076 W Park Pl. Blvd, Stone Mountain, GA 30087, USA",33.8185861,-84.11885699999999
"Escape room ""The Apartment"" by Escape Room Vero Beach in Port St. Lucie",https://worldofescapes.com/port-st-lucie/quests/escape-room-vero-beach-the-apartment,"836 S US-1, Vero Beach, FL 32962","Many dreadful things have happened to the occupants of apartment 836B over the years, since the original tenants passing. Some people think the apartment is haunted by her spiteful spirit not wanting others to live in the place she once called home.

Recently, your friend Mary moved into the apartment because of the affordably low rent. Now she has disappeared.",2-10,60,Very difficult,Not scary,10+,None,2,10,60 minutes,10,3,0,"836 S U.S. 1, Vero Beach, FL 32962, USA",27.587282,-80.3775119
"Escape room ""Lunar Mission"" by Maze Rooms in Los Angeles",https://worldofescapes.com/los-angeles/quests/maze-rooms-lunar-mission,"132 S Vermont ave Unit 204, Los Angeles, CA 90004",Try to escape lunar station in disrepair and survive. Far in the outer space. Only teamwork can return the lunar crew home.,2-5,60,Difficult,Not scary,14+,None,2,5,60 minutes,14,2,0,"132 S Vermont Ave #204, Los Angeles, CA 90004, USA",34.0720282,-118.2912333
"Escape room ""The Study"" by West Palm Beach Escape Rooms in West Palm Beach",https://worldofescapes.com/west-palm-beach/quests/west-palm-beach-escape-rooms-da-vinci-study,"209 S. Olive Ave West Palm Beach, FL 33401","When you arrive at the cabin, you find an abandoned home with unfinished experiments and paperwork leading you to a clock counting down to zero. Can your group of Escape Room Adventurists finding the lost prized painting? One hour is all that separates you from making history or being history!",2-8,60,Average,Not scary,,None,2,8,60 minutes,nan,1,0,"209 S Olive Ave, West Palm Beach, FL 33401, USA",26.7118736,-80.0520734
"Escape room ""Armored Truck Heist"" by Southernmost Escape in Key West",https://worldofescapes.com/key-west/quests/southernmost-escape-armored-truck-heist,"2782 N Roosevelt Blvd. Key West, FL 33040","You are part of the crew of the Unnamed Gang hoping to become a Made Man by successfully robbing an armored truck full of money and riches. Unfortunately, you have just been locked in and the police are on their way. You have 60 minutes to escape the truck before the police arrive. Will you get away with the loot or go to jail?",2-6,60,Average,Not scary,13+,None,2,6,60 minutes,13,1,0,"2782 N Roosevelt Blvd, Key West, FL 33040, USA",24.5649626,-81.77108659999999
"Escape room ""Reactor B"" by Back Alley Escape in Temecula",https://worldofescapes.com/temecula/quests/back-alley-escape-the-basement,"32125 Temecula Parkway Temecula, CA  92592",Someone has infiltrated a military base that houses most of the US nuclear reserves.  He/She has set a bomb.  You have an hour to find out who it is and how to diffuse the bomb.,2-8,60,Average,Not scary,13+,None,2,8,60 minutes,13,1,0,"32125 Temecula Pkwy, Temecula, CA 92592, USA",33.4786645,-117.0979199
"Escape room ""The Submarine"" by Escape The Room Scottsdale in Phoenix",https://worldofescapes.com/phoenix/quests/escape-the-room-az-the-submarine,"7017 E Main St Scottsdale, AZ 85251",Get ready to explore the deep like many brave adventurers before you! Follow in the footsteps of Cousteau and try to escape this submarine before you end up in the icy waters...,2-8,60,Average,Not scary,14+,None,2,8,60 minutes,14,1,0,"7017 E Main St, Scottsdale, AZ 85251, USA",33.4929013,-111.9297524
